tran_id	gene_id	gene_short_name	gene_type
chr19:55192564:55192636|55192690:+@chr19:55193840:55193872	ENSMUSG00000024979	Tectb	character(0)
chr19:55192564:55192636|55192909:+@chr19:55193840:55193872	ENSMUSG00000024979	Tectb	character(0)
chr19:55192564:55192690|55192909:+@chr19:55193840:55193872	ENSMUSG00000024979	Tectb	character(0)
chr19:46709547:46709661|46709683:+@chr19:46712221:46712290	ENSMUSG00000003559	As3mt	character(0)
chr19:46280538:46280731|46280743:+@chr19:46283035:46283185	ENSMUSG00000025224	Gbf1	character(0)
chr19:44941459:44942426|44942939:+@chr19:44943449:44943519	ENSMUSG00000036097	Slf2	character(0)
chr19:44790683:44790778|44790802:+@chr19:44815908:44816083	ENSMUSG00000004231	Pax2	character(0)
chr19:34934908:34935004|34935132:+@chr19:34935626:34935737	ENSMUSG00000024795	Kif20b	character(0)
chr19:34192229:34192595|34192631:+@chr19:34220187:34220266	ENSMUSG00000024776	Stambpl1	character(0)
chr19:20436292:20436437|20436513:+@chr19:20444726:20444883	ENSMUSG00000094732	1500015L24Rik	character(0)
chr19:12639772:12639866|12639903:+@chr19:12646303:12646410	ENSMUSG00000063683	Glyat	character(0)
chr19:10781762:10781964|10783081:+@chr19:10785233:10785345	ENSMUSG00000067577	A430093F15Rik	character(0)
chr19:10577451:10577563|10577893:+@chr19:10578982:10579074	ENSMUSG00000034445	Cyb561a3	character(0)
chr19:8743353:8743423|8743502:+@chr19:8748461:8748577	ENSMUSG00000010110	Stx5a	character(0)
chr19:8748807:8748888|8748899:+@chr19:8749666:8749772	ENSMUSG00000010110	Stx5a	character(0)
chr19:8725782:8725826|8725924:+@chr19:8726067:8726102	ENSMUSG00000108414	Snhg1	character(0)
chr19:6346692:6346809|6346817:+@chr19:6351180:6351238	ENSMUSG00000024948	Map4k2	character(0)
chr19:6336725:6336828|6336933:+@chr19:6337153:6337281	ENSMUSG00000024947	Men1	character(0)
chr19:6255101:6255265|6255271:+@chr19:6255409:6255538	ENSMUSG00000024773	Atg2a	character(0)
chr19:6164454:6164750|6165168:+@chr19:6166468:6166572	ENSMUSG00000039699	Batf2	character(0)
chr19:5415008:5415099|5415112:+@chr19:5415607:5415812	ENSMUSG00000086938	4930481A15Rik	character(0)
chr19:3284760:3284817|3284833:+@chr19:3285310:3285395	ENSMUSG00000024829	Mrpl21	character(0)
chr18:84964109:84964191|84965060:+@chr18:84965431:84965585	ENSMUSG00000034391	Fbxo15	character(0)
chr18:74714826:74714959|74714974:+@chr18:74715959:74716078	ENSMUSG00000025885	Myo5b	character(0)
chr18:63740027:63740105|63740247:+@chr18:63755036:63755231	ENSMUSG00000040560	Wdr7	character(0)
chr18:62984040:62984070|62984123:+@chr18:62986179:62986288	ENSMUSG00000024581	Napg	character(0)
chr18:57373892:57374027|57374083:+@chr18:57374527:57374690	ENSMUSG00000024594	Prrc1	character(0)
chr18:50280525:50280595|50280671:+@chr18:50281491:50282252	ENSMUSG00000035420	Fam170a	character(0)
chr18:43766704:43766900|43766966:+@chr18:43767231:43767399	ENSMUSG00000038791	Scgb3a2	character(0)
chr18:39357553:39357663|39357828:+@chr18:39363117:39363208	ENSMUSG00000036452	Arhgap26	character(0)
chr18:37955139:37955916|37956567:+@chr18:37956929:37956994	ENSMUSG00000044024	Rell2	character(0)
chr18:36762658:36762757|36762767:+@chr18:36762849:36763018	ENSMUSG00000042660	Wdr55	character(0)
chr18:36641399:36641478|36641505:+@chr18:36641577:36641693	ENSMUSG00000024483	Ankhd1	character(0)
chr18:36656686:36656834|36656862:+@chr18:36657974:36658138	ENSMUSG00000024483	Ankhd1	character(0)
chr18:35579266:35579310|35579318:+@chr18:35581170:35581295	ENSMUSG00000037236	Matr3	character(0)
chr18:34829168:34829258|34829298:+@chr18:34830129:34830248	ENSMUSG00000038773	Kdm3b	character(0)
chr18:34331750:34331825|34334364:+@chr18:34334457:34334568	ENSMUSG00000014504	Srp19	character(0)
chr18:31650491:31650615|31650619:+@chr18:31653502:31653626	ENSMUSG00000024260	Sap130	character(0)
chr18:12750660:12751004|12751828:+@chr18:12753861:12754463	ENSMUSG00000024430	Cabyr	character(0)
chr18:12750660:12751004|12751828:+@chr18:12754344:12754463	ENSMUSG00000024430	Cabyr	character(0)
chr18:12750660:12751004|12751828:+@chr18:12755064:12755146	ENSMUSG00000024430	Cabyr	character(0)
chr18:12695236:12695562|12695590:+@chr18:12697891:12698059	ENSMUSG00000024424	Ttc39c	character(0)
chr18:38300429:38300484|38300590:+@chr18:38301656:38301807	ENSMUSG00000060450	Rnf14	character(0)
chrY:90793296:90793417|90793680:+@chrY:90816349:90816464	ENSMUSG00000096768	Gm47283	character(0)
chr19:5463171:5463304|5463325:+@chr19:5463604:5463712	ENSMUSG00000024911	Fibp	character(0)
chr19:13765279:13765393|13765415:+@chr19:13768339:13770248	ENSMUSG00000047207	Olfr1495	character(0)
chr17:87636458:87636604|87636894:+@chr17:87639896:87640003	ENSMUSG00000045394	Epcam	character(0)
chr17:83222126:83222198|83222230:+@chr17:83223783:83223956	ENSMUSG00000024247	Pkdcc	character(0)
chr17:74605989:74606123|74606135:+@chr17:74608097:74608284	ENSMUSG00000024073	Birc6	character(0)
chr17:74615220:74615330|74615357:+@chr17:74618436:74618563	ENSMUSG00000024073	Birc6	character(0)
